Session Size (KB),Total Migration Time (ms)
1,324.491884
1,293.5697829
1,299.3159246
1,296.0135358
1,314.1864535
1,325.8508029
1,287.0563073
1,281.2105726
1,291.5607465
1,293.575535
1,293.5261897
1,289.8408328
1,324.7882275
1,298.6543391
1,312.1738786
1,319.4310486
1,300.6839946
1,285.8526488
1,325.5850929
1,295.7290967
1,306.5120002
1,292.161025
1,304.0113077
1,308.5415052
1,307.5057872
1,299.8600998
1,286.4652039
1,308.6257599
1,320.6778726
1,290.6246139
1,312.9122901
1,293.7099328
1,305.4720923
1,294.2138482
1,312.9202717
1,304.1573038
1,298.6238055
1,283.2068413
1,291.3787587
1,309.6931726
1,285.9783562
1,300.7552182
1,296.333163
1,296.0536293
1,278.8992532
1,298.6532352
1,310.4955292
1,310.3183486
1,307.9603723
1,288.1237017
1,320.8413999
1,280.5794649
1,283.0762204
1,313.1537933
1,297.0911866
1,308.8519635
1,299.4031946
1,265.6508656
1,302.0995167
1,313.4483734
1,276.130333
1,306.9637561
1,304.1450826
1,305.4202672
1,316.223631
1,297.8414116
1,273.9659028
1,292.7244064
1,309.4806375
1,305.5200032
1,301.601814
1,293.9274081
1,290.2111975
1,321.6997212
1,308.389929
1,281.5274707
1,313.0080493
1,298.2247046
1,306.2398903
1,294.5757039
1,279.5756284
1,323.2180286
1,317.9031314
1,305.5496545
1,311.1526864
1,286.9144862
1,303.1563417
1,307.9074892
1,305.7569904
1,297.7365525
1,290.3851373
1,293.476855
1,276.775978
1,311.2111638
1,296.1070953
1,298.947627
1,298.8248661
1,278.3041094
1,304.4624634
1,292.5925419
1,279.2621939
1,303.6775384
1,310.2426038
1,308.7542103
1,300.6610579
1,318.2855973
1,308.9845139
1,288.6094127
1,286.1853467
1,301.493731
1,304.4142949
1,302.1437734
1,300.7048859
1,308.5246762
1,308.6696407
1,300.9841607
1,313.1948587
1,300.1632769
1,301.9148212
1,288.3432939
1,308.1133322
1,271.1042268
1,281.5998383
1,299.2161575
1,289.8449244
1,303.8884017
1,291.5926745
1,310.8985392
1,317.3812616
1,303.5349251
1,310.7008573
1,307.1230118
1,311.2314635
1,295.915533
1,287.7772141
1,289.1787676
1,296.9864949
1,314.4334484
1,297.5792717
1,313.7364905
1,303.694794
1,298.2204544
1,310.0691323
1,305.8919856
1,306.1318959
1,291.9590997
1,286.9520931
1,316.1015612
1,309.1496974
1,285.8330793
